id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,11000,3,165,2019-11-14,1.50,1,363,0,M130003350
776070,Kero-kero house room 1,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,7816,3,228,2020-01-18,2.33,1,216,0,M130000243
1033276,private room @Senju area,5686404,Yukiko,,Adachi Ku,35.74437,139.79739,Private room,30000,1,72,2018-04-15,0.78,2,270,0,M130007760
1096292,Home stay with a Japanese language teacher family.,6018145,Mari,,Shinjuku Ku,35.69233,139.70851,Private room,14036,1,252,2020-02-12,2.73,3,365,1,M130002814
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74475,139.79731,Private room,3000,2,95,2020-03-17,0.98,2,88,0,M130007760
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,32571,4,102,2019-11-30,1.48,1,335,1,M130000957
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,9429,3,185,2019-12-03,1.84,1,272,0,M130000057
1298200,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,,Katsushika Ku,35.73987,139.85176,Entire home/apt,11286,4,339,2020-03-13,3.76,2,217,0,M130009943
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,28886,3,162,2019-12-17,2.08,1,249,0,M130003681
1394124,Renewal! Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,20000,2,226,2021-08-12,2.29,1,70,4,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.72415,139.70151,Private room,4000,3,225,2019-12-01,2.59,2,87,0,M130000166
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.7241,139.70343,Private room,4000,3,220,2020-01-05,2.33,2,341,0,M130000166
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.7362,139.85178,Entire home/apt,10286,3,304,2019-11-21,3.68,8,230,0,M130002147
1526132,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,6266,2,156,2019-03-19,1.60,13,270,0,M130002186
1544970,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,6266,2,130,2019-12-08,1.33,13,365,0,M130002186
1571298,Dormitory 5  with BALCONY,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,4266,2,168,2019-08-05,1.75,13,365,0,M130002186
1574946,Dormitory 6  with BALCONY,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,4266,2,141,2020-03-02,1.48,13,365,0,M130002186
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari ,,Setagaya Ku,35.65897,139.60988,Private room,3300,2,42,2018-05-14,0.49,2,0,0,M130000196
1600758,Enjoy a unique house in a green residential area!,8529477,Mari ,,Setagaya Ku,35.65933,139.60847,Private room,3300,2,13,2018-11-20,0.33,2,29,0,M130000196
1754294,Home stay with a Japanese language teacher family,6018145,Mari,,Shinjuku Ku,35.6944,139.70727,Private room,12904,1,245,2020-02-10,2.55,3,336,0,M130002814
1919541,share house 'Miraie' @JR Osaki,9951050,Takashi&Li,,Shinagawa Ku,35.61794,139.72313,Private room,4000,2,229,2019-11-04,2.43,1,175,2,M130001466
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63858,139.64624,Entire home/apt,11000,2,105,2019-04-10,1.16,1,354,0,M130000611
2027932,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,,Minato Ku,35.65819,139.72722,Entire home/apt,68929,3,170,2020-06-05,1.88,3,0,0,M130001980
2129583,"Blissful Retreat near Shinjuk, Koenji, Shimokita!",9203725,Memz And Taki,,Suginami Ku,35.67273,139.65974,Entire home/apt,12000,1,9,2019-10-23,0.17,5,365,0,Hotels and Inns Business Act | 東京都杉並区杉並保健所 | 30杉保衛環第331号
2219300,＊C＊Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Taki,,Suginami Ku,35.67273,139.65974,Entire home/apt,12000,1,16,2016-12-25,0.20,5,276,0,Hotels and Inns Business Act | 東京都杉並区杉並保健所 | 30杉保衛環第331号
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67191,139.68367,Private room,27000,1,157,2020-05-08,1.73,1,255,0,M130000961
2491507,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Private room,6266,2,82,2019-06-11,0.97,13,270,0,M130002186
2602722,Dormitory 2  with BALCONY,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,4266,2,158,2019-10-30,2.02,13,365,0,M130002186
2602791,Dormitory 1  with BALCONY !,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70435,Shared room,4266,2,71,2020-01-01,0.81,13,271,0,M130002186
2645379,Dormitory 4  with BALCONY !,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,4266,2,73,2019-11-05,0.84,13,271,0,M130002186
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,,Akishima Shi,35.70569,139.37936,Entire home/apt,3873,3,30,2020-12-23,0.44,2,206,2,M130000081
2839061,Work desk/Central TKO/Discover local life&culture,4839990,Toshiyuki,,Bunkyo Ku,35.72035,139.76445,Private room,3500,4,76,2020-02-25,1.21,1,88,1,M130016568
2867835,Lively town flat for family stay,9360394,Vann Amor,,Adachi Ku,35.79124,139.79102,Entire home/apt,13000,7,6,2019-05-21,0.17,4,177,0,M130004932
2883497,東京下町生活,6969809,Kota,,Taito Ku,35.72208,139.78049,Entire home/apt,22000,1,254,2020-03-16,2.91,2,356,1,Hotels and Inns Business Act | 東京都台東保健所 | ３０台台健生環き第７９号
2883753,Modern Tatami dining with comfy bed,9360394,Vann Amor,,Adachi Ku,35.79137,139.79205,Entire home/apt,13000,7,3,2018-10-31,0.09,4,28,0,M130004931
2883869,Comfy Studio with Lovely balcony,9360394,Vann Amor,,Adachi Ku,35.79166,139.79285,Entire home/apt,6729,7,4,2020-01-03,0.05,4,83,0,M130004934
3021731,Cozy room in the City,15397951,Kay,,Shinjuku Ku,35.72097,139.69196,Private room,5500,50,111,2019-01-18,1.34,3,364,0,M130001912
3085134,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.65174,139.72175,Entire home/apt,25257,3,123,2021-08-19,1.47,3,315,5,M130003771
3235958,Experience normal Japan life 1,16241464,Kaori,,Itabashi Ku,35.78156,139.63309,Entire home/apt,4500,1,85,2019-06-23,1.16,2,195,0,M130000056
3265059,Factory Roof-Top! +Portable Wi-Fi,6606987,K & N,,Katsushika Ku,35.73862,139.8515,Private room,7143,3,319,2020-02-19,3.67,2,0,0,M130011982
3339222,Experience normal Japan life 2,16241464,Kaori,,Itabashi Ku,35.77932,139.63338,Entire home/apt,4500,1,50,2020-03-01,0.72,2,122,1,M130000055
3366913,Beautiful and peaceful residence,15397951,Kay,,Shinjuku Ku,35.72154,139.69228,Private room,5000,50,99,2020-03-13,1.25,3,213,0,M130001912
3372902,アジアンミックステイストの癒される空間,17018818,Miri,,Meguro Ku,35.61728,139.6679,Entire home/apt,6800,2,135,2019-11-25,1.56,1,357,2,M540000008
3395524,Perfect room for student,15397951,Kay,,Shinjuku Ku,35.72104,139.69082,Private room,4500,50,64,2018-12-28,0.91,3,272,0,M130001912
3409030,Bang For Your Buck!,17190614,Shu,,Shinjuku Ku,35.69746,139.70058,Private room,5000,6,158,2020-01-04,1.87,1,0,0,M130000855
3514008,Seidokan ．experience the rich history of Japan!,17694529,Hisao,,Arakawa Ku,35.72672,139.78201,Entire home/apt,2500,1,234,2019-10-02,2.84,9,92,1,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
3563698,"Feel ""Belong Anywhere"" in Tokyo. 30min to Shinjuku",11583876,Ken,,Machida Shi,35.58911,139.48023,Entire home/apt,3800,3,102,2020-03-23,1.20,1,334,7,M130000249
3572139,Modern Japanese house w/ garden,15514130,Tomo,,Toshima Ku,35.72784,139.73408,Entire home/apt,11686,2,163,2019-10-12,2.23,1,168,5,M130001001
3606276,＊A＊Home WIFI! Tranquil Retreat+LOFT near Shinjuku!,9203725,Memz And Taki,,Suginami Ku,35.67276,139.65976,Private room,15000,1,4,2017-06-30,0.08,5,365,0,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第331号
3689244,"Shibuya, near Harajuku 2BR (MDS2BR)",18776800,LiveinAsia,,Shibuya Ku,35.67205,139.67877,Entire home/apt,31000,6,13,2019-03-27,0.16,18,149,0,M130003456
3744742,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76105,139.716,Entire home/apt,1858,3,210,2020-01-20,2.51,6,189,2,M130004689
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,,Setagaya Ku,35.62942,139.63077,Private room,33496,1,83,2019-07-25,0.99,1,70,0,M130001108
3793206,PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70432,Private room,6266,2,209,2020-01-11,3.35,13,270,0,M130002186
3793412,PRIVATE ROOM FAMILY OR FRIENDS 10F II,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,6266,2,71,2020-02-17,1.12,13,270,0,M130002186
3814258,apartment hotel TASU TOCO,19611972,岩間,,Suginami Ku,35.70293,139.60045,Entire home/apt,7771,2,165,2019-12-06,2.16,3,339,13,Hotels and Inns Business Act | 杉並区杉並保健所 | 22杉並第37960号
3838856,SHINJUKU ★Designer Pencil House★ Airport Transfer,4626879,Tracey,,Shibuya Ku,35.68245,139.69009,Entire home/apt,15662,2,173,2020-01-30,2.08,5,175,3,M130018884
3845889,COZY LOFT BEDROOM　#106,19089769,Manami,,Suginami Ku,35.70679,139.6551,Entire home/apt,8500,3,96,2020-03-09,1.45,2,0,0,M130000777
3846001,COZY LOFT BEDROOM #1,19089769,Manami,,Suginami Ku,35.70686,139.65543,Entire home/apt,5500,14,123,2020-02-27,1.50,2,0,0,M130008732
3871442,Nishi-Ogikubo 1BR Twin Type-A (SSH1BRT-A) 2F,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,13000,3,36,2019-06-02,0.47,18,149,0,M130002734
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.64991,139.72204,Entire home/apt,28834,3,131,2020-03-08,1.69,3,258,1,M130003789
3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,,Higashimurayama Shi,35.76577,139.44678,Entire home/apt,5583,3,133,2019-11-27,1.70,3,338,1,M130000495
3925416,【Itokiyoshi】Ningyo-cho 1min walk,20336856,Ito,,Chuo Ku,35.68577,139.78368,Entire home/apt,4000,1,112,2018-06-10,1.32,1,309,2,Hotels and Inns Business Act | 東京都中央区保健所 | 31中保生環き　第95号
3956263,TINY Home in the Shibuya Ward with Free Wifi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67813,139.67913,Entire home/apt,14476,1,87,2020-02-24,1.13,2,0,3,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋建生収第７７０号
4026948,Near Shinagawa Shibuya Haneda,20878710,Daisuke,,Shinagawa Ku,35.60033,139.73415,Private room,6000,4,127,2019-12-31,1.62,1,2,0,M130000543
4047596,「LICENSED」Enjoy Central Tokyo Yamanote Life,6504053,Bryan,,Shinagawa Ku,35.62633,139.7235,Entire home/apt,18000,3,196,2020-03-13,2.34,4,154,0,M130000365
4050925,Airport transfer service&Asakusa traditional house,21004633,Yoshi,,Taito Ku,35.71433,139.79878,Entire home/apt,20000,1,480,2021-07-05,5.72,6,131,3,Hotels and Inns Business Act | 東京都台東区 | 29台健生環き第195号
4141228,#211 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73417,139.63328,Entire home/apt,4689,3,72,2020-01-23,0.93,9,90,0,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第52号
4222643,Decoboco hanare,21769906,Decoboco,,Koto Ku,35.6806,139.81931,Entire home/apt,6000,1,309,2019-11-25,3.71,2,21,0,M130015171
4360718,(2) 5ppl 11mins Shinjuku 17 Shibuya. -JR Jujo Sta,19152993,Sei,,Kita Ku,35.76094,139.71652,Entire home/apt,6236,3,182,2019-04-12,2.26,6,0,0,M130004688
4388283,Sunny room in residential area in 国分寺 1st Floor,10969488,Como,,Kokubunji Shi,35.70919,139.48074,Private room,2786,2,55,2018-11-26,0.70,3,335,5,M130002755
4396219,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,13500,3,27,2019-10-08,0.36,18,149,0,M130002742
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,17000,3,23,2019-09-30,0.32,18,149,1,M130002749
4471946,Chic 2BR Zen House (5 min to Ueno/10 to Akihabara),23202702,Teruko,,Kita Ku,35.74576,139.75222,Entire home/apt,12000,7,96,2020-02-14,1.39,2,0,0,Hotels and Inns Business Act | 東京都北区保健所 | 30北健生環き第80号
4495014,(6) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76111,139.71576,Entire home/apt,6236,3,198,2019-07-07,2.55,6,0,0,M130006697
4540924,"3persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Naga,,Hino Shi,35.68587,139.39428,Entire home/apt,5139,5,35,2020-02-26,0.65,2,364,0,M130008297
